vegetables     
"Халва тахинная" 3.9 12.7 29.9 50.6 510
"Халва соняшникова" 2.9 11.6 29.7 54 516
"Темний Шоколад" 0.8 5.4 35.3 52.6 540
"Шоколад молочний" 0.9 6.9 35.7 52.4 547
cakes     
"Вафлі з фруктовими начинками" 12 3.2 2.8 80.1 342
"Вафлі з начинками жиросодержащими" 1 3.4 30.2 64.7 530
"Листкове тістечко з кремом" 9 5.4 38.6 46.4 544
"Листкове тістечко з яблуком" 13 5.7 25.6 52.7 454
"Тістечко бісквітне з фруктовою начинкою" 21 4.7 9.3 84.4 344
Пряники 14.5 4.8 2.8 77.7 336
"Торт бісквітний з фруктовою начинкою" 25 4.7 20 49.8 386
"Торт мигдальний" 9.3 6.6 35.8 46.8 524
bread     
"Хліб житній" 42.4 4.7 0.7 49.8 214
"Хліб пшеничний з борошна I сорту" 34.3 7.7 2.4 53.4 254
"Здобна випічка" 26.1 7.6 4.5 60 297
Бублики 17 10.4 1.3 68.7 312
Сушіння 12 11 1.3 73 330
"Сухарі пшеничні" 12 11.2 1.4 72.4 331
"Сухарі вершкові" 8 8.5 10.6 71.3 397
"Борошно пшеничне вищого сорту" 14 10.3 0.9 74.2 327
"Борошно пшеничне I сорту" 14 10.6 1.3 73.2 329
"Борошно пшеничне II сорту" 14 11.7 1.8 70.8 328
"Мука житня" 14 6.9 1.1 76.9 326
cereals     
"Гречана ядриця" 14 12.6 2.6 68 329
"Гречана просунув" 14 9.5 1.9 72.2 326
Манна 14 11.3 0.7 73.3 326
Вівсяна 12 11.9 5.8 65.4 345
Перлова 14 9.3 1.1 73.7 324
Пшоно 14 12 2.9 69.3 334
Рисова 14 7 0.6 73.7 323
"Пшенична «Полтавська»" 14 12.7 1.1 70.6 325
Толокно 10 12.2 5.8 68.3 357
Ячна 14 10.4 1.3 71.7 322
Геркулес 12 13.1 6.2 65.7 355
Кукурудзяна 14 8.3 1.2 75 325
beans     
Боби 83 6 0.1 8.3 58
"Горох лущений" 14 23 1.6 57.7 323
"Горох цільний" 14 23 1.2 53.3 303
Соя 12 34.9 17.3 26.5 395
Квасоля 14 22.3 1.7 54.5 309
Сочевиця 14 24.8 1.1 53.7 310
nuts     
Арахіс 26.3 45.2 9.9 551 3.1
"Арахіс сушений" 29.2 50.2 10.8 611 3.1
"Волоські горіхи" 15.6 65.2 10.2 648 3
"Мигдаль солодкий" 18.6 57.7 16.2 645 2.3
"Соняшник (насіння)" 20.7 52.9 3.4 578 2.3
Фундук 16.1 66.9 9.9 704 3
mushrooms     
"Білі свіжі" 89.9 3.2 0.7 1.6 25
"Білі сушені" 13 27.6 6.8 10 209
"Підберезники свіжі" 91.6 2.3 0.9 3.7 31
"Підосичники свіжі" 91.1 3.3 0.5 3.4 31
"Сироежи свіжі" 83 1.7 0.3 1.4 17
meat     
Баранина 67.6 16.3 15.3 0 203
Яловичина 67.7 18.9 12.4 0 187
Конина 72.5 20.2 7 0 143
Кролик 65.3 20.7 12.9 0 199
"Свинина нежирна" 54.8 16.4 27.8 0 316
"Свинина жирна" 38.7 11.4 49.3 0 489
Телятина 78 19.7 1.2 0 90
"Баранячі Нирки" 79.7 13.6 2.5 0 77
"Бараняча Печінка" 71.2 18.7 2.9 0 101
"Бараняче Серце" 78.5 13.5 2.5 0 82
"Яловичі Мізки" 78.9 9.5 9.5 0 124
"Яловича Печінка" 72.9 17.4 3.1 0 98
"Яловичі Нирки" 82.7 12.5 1.8 0 66
"Вим’я Яловиче" 72.6 12.3 13.7 0 173
"Яловиче Серце" 79 15 3 0 87
"Яловичий Язик" 71.2 13.6 12.1 0 163
"Нирки свинні" 80.1 13 3.1 0 80
"Печінка свинна" 71.4 18.8 3.6 0 108
"Серце свинне" 78 15.1 3.2 0 89
"Мова свинячий" 66.1 14.2 16.8 0 208
Гуси 49.7 16.1 33.3 0 364
Індичка 64.5 21.6 12 0.8 197
Кури 68.9 20.8 8.8 0.6 165
Курчата 71.3 18.7 7.8 0.4 156
Качки 51.5 16.5 61.2 0 346
sausages     
"Варена ковбаса Діабетична" 62.4 12.1 22.8 0 254
"Варена ковбаса Дієтична" 71.6 12.1 13.5 0 170
"Варена ковбаса Докторська" 60.8 13.7 22.8 0 260
"Варена ковбаса Любительська" 57 12.2 28 0 301
"Варена ковбаса Молочна" 62.8 11.7 22.8 0 252
"Варена ковбаса Окрема" 64.8 10.1 20.1 1.8 228
"Варена ковбаса Теляча" 55 12.5 29.6 0 316
"Сардельки Свинячі" 53.7 10.1 31.6 1.9 332
"Сосиски Молочні" 60 12.3 25.3 0 277
"Сосиски Українські" 66.2 12 19.1 0 220
"Свинячі Сосиски" 54.8 11.8 30.8 0 324
"Варено-копчена Любительська" 39.1 17.3 39 0 420
"Варено-копчена Сервелат" 39.6 28.2 27.5 0 360
"Напівкопчена Краківська" 34.6 16.2 44.6 0 466
"Напівкопчена Мінська" 52 23 17.4 2.7 259
"Напівкопчена Полтавська" 39.8 16.4 39 0 417
"Напівкопчена Українська" 44.4 16.5 34.4 0 376
"Сирокопчена Любительська" 25.2 20.9 47.8 0 514
"Сирокопчена Київська" 27.6 24.8 41.5 0 473
canned_meat     
"Яловичина тушкована" 63 16.8 18.3 0 232
"Сніданок туриста (яловичина)" 66.9 20.5 10.4 0 176
"Сніданок туриста (свинина)" 65.6 16.9 15.4 0 206
"Ковбасний фарш" 63.2 15.2 15.7 2.8 213
"Свинина тушкована" 51.1 14.9 32.2 0 349
"Грудинка сирокопчена" 21 7.6 66.8 0 632
"Корейка сирокопчена" 37.3 10.5 47.2 0 467
Шинка 53.5 22.6 20.9 0 279
dairy_products     
"Бринза з коров’ячого молока" 52 17.9 20.1 0 260
"Йогурт натуральний 1.5% жирності" 88 5 1.5 3.5 51
"Кефір нежирний" 91.4 3 0.1 3.8 30
"Кефір жирний" 88.3 2.8 3.2 4.1 59
Молоко 88.5 2.8 3.2 4.7 58
"Ацидофільне Молоко" 81.7 2.8 3.2 10.8 83
"Молоко сухе незбиране" 4 25.6 25 39.4 475
"Молоко згущене" 74.1 7 7.9 9.5 135
"Молоко згущене з цукром" 26.5 7.2 8.5 56 315
Кисляк 88.4 2.8 3.2 4.1 58
Ряжанка 85.3 3 6 4.1 85
"Вершки 10%" 82.2 3 10 4 118
"Вершки 20%" 72.9 2.8 20 3.6 205
"Сметана 10%" 82.7 3 10 2.9 116
"Сметана 20%" 72.7 2.8 20 3.2 206
"Сирки і маса сирні особливі" 41 7.1 23 27.5 340
"Сир український" 40 23.4 30 0 371
"Сир голландський" 38.8 26.8 27.3 0 361
"Сир швейцарський" 36.4 24.9 31.8 0 396
"Сир пошехонський" 41 26 26.5 0 334
"Сир плавлений" 55 24 13.5 0 226
"Сир жирний" 64.7 14 18 1.3 226
"Сир жирний" 71 16.7 9 1.3 156
"Сир нежирний" 77.7 18 0.6 1.5 86
eggs     
"Яйце куряче" 74 12.7 11.5 0.7 157
"Яєчний порошок" 6.8 45 37.3 7.1 542
"Сухий білок" 12.1 73.3 1.8 7 336
"Сухий жовток" 5.4 34.2 52.2 4.4 623
"Яйце перепелине" 73.3 11.9 13.1 0.6 168
seafood     
Бички 70.8 12.8 8.1 5.2 145
Горбуша 70.5 21 7 0 147
Камбала 79.5 16.1 2.6 0 88
Карась 78.9 17.7 1.8 0 87
Короп 79.1 16 3.6 0 96
Кета 71.3 22 5.6 0 138
Корюшка 79.8 15.5 3.2 0 91
Крижана 81.8 15.5 1.4 0 75
Лящ 77.7 17.1 4.1 0 105
Сьомга 62.9 20.8 15.1 0 219
Макрурус 85 13.2 0.8 0 60
Мінога 75 14.7 11.9 0 166
Минтай 80.1 15.9 0.7 0 70
Мойва 75 13.4 11.5 0 157
Навага 81.1 16.1 1 0 73
Минь 79.3 18.8 0.6 0 81
"Нототенія мармурова" 73.4 14.8 10.7 0 156
"Окунь морський" 75.4 17.6 5.2 0 117
"Окунь річковий" 79.2 18.5 0.9 0 82
Осетер 71.4 16.4 10.9 0 164
Палтус 76.9 18.9 3 0 103
Путасу 81.3 16.1 0.9 0 72
Риба-шабля 75.2 20.3 3.2 0 110
"Рибець каспійський" 77 19.2 2.4 0 98
Сазан 75.3 18.4 5.3 0 121
"Сайра велика" 59.8 18.6 20.8 0 262
"Сайра дрібна" 71.3 20.4 0.8 0 143
Салака 75.4 17.3 5.6 0 121
Оселедець 62.7 17.7 19.5 0 242
Сиг 72.3 19 7.5 0 144
Скумбрія 71.8 18 9 0 153
Сом 75 16.8 8.5 0 144
Ставрида 74.9 18.5 5 0 119
Стерлядь 74.9 17 6.1 0 320
Судак 78.9 19 0.8 0 83
Тріска 80.7 17.5 0.6 0 75
Тунець 74 22.7 0.7 0 96
"Вугільна риба" 71.5 13.2 11.6 0 158
"Вугор морський" 77.5 19.1 1.9 0 94
Вугор 53.5 14.5 30.5 0 333
Хек 79.9 16.6 2.2 0 86
Щука 70.4 18.8 0.7 0 82
Язь 80.1 18.2 0.3 0 117
"Креветка далекосхідна" 64.8 28.7 1.2 0 134
"Печінка тріски" 26.4 4.2 65.7 0 613
Кальмар 80.3 18 0.3 0 75
Краб 81.5 16 0.5 0 69
Креветка 77.5 18 0.8 0 83
"Морська капуста" 88 0.9 0.2 3 5
"Паста «Океан»" 72.2 18.9 6.8 0 137
Трепанг 89.4 7.3 0.6 0 35
crops     
"Пшениця м’яка озима" 0 11.2 2.1 68.7 290
"Пшениця тверда" 0 13 2.5 66.6 301
Жито 0 9.9 2.2 70.9 287
Гречка 0 10.8 3.2 68.9 295
"Кукурудза цукрова" 0 11.2 4.5 40.4 245
Кукурудза 0 10.3 4.9 67.5 325
Овес 0 10 6.2 57.8 250
Просо 0 11.2 3.9 70.5 311
Рис 0 7.5 2.6 63.1 283
Ячмінь 0 10.3 2.4 62.4 264
